epoch,train_loss,val_loss,ssim,psnr,mae,learning_rate,timestamp
1,1.7088921704307563,1.1896313724424112,0.8960719084003108,19.58774866138655,1.1896313719833056,5e-06,2025-04-21 18:52:34
2,0.8615343587333654,0.3777118746700921,0.943684559323421,29.315492713213636,0.37771187457287403,5e-06,2025-04-21 20:03:23
3,0.2531420530570226,0.1539619683216939,0.9602725709180479,35.821801392678275,0.15396196820677446,5e-06,2025-04-21 21:13:49
4,0.1593419403010676,0.15510182187682017,0.9614620986432437,35.72500645508146,0.15510182177930876,5e-06,2025-04-21 22:24:27
5,0.14258685302929958,0.1311391129053549,0.9636498142277533,37.082197153752844,0.1311391129248601,5e-06,2025-04-21 23:35:29
6,0.13187969603529925,0.12414443198357761,0.9647068529590477,37.55426588590211,0.124144431861912,5e-06,2025-04-22 00:46:28
7,0.12503456171093677,0.12024945857810056,0.9656094693953637,37.811773945938086,0.12024945868438196,5e-06,2025-04-22 01:57:29
8,0.12089194921242231,0.12086254488381129,0.9659860300433678,37.75049314228259,0.12086254479171149,5e-06,2025-04-22 03:08:34
9,0.11768834001782323,0.11776302902426398,0.9663615262117157,38.00759862568718,0.11776302900475878,5e-06,2025-04-22 04:19:31
10,0.11549178092014127,0.12465022446887564,0.9663427911943926,37.48097575387364,0.12465022449915271,5e-06,2025-04-22 05:30:30
11,0.11353170473356636,0.11948942695761934,0.9667950261936706,37.83763985278606,0.11948942694648818,5e-06,2025-04-22 06:41:30
12,0.1117133578708192,0.11443809792117828,0.9670353650431363,38.24550145449553,0.11443809781150911,5e-06,2025-04-22 07:52:33
13,0.11035901302454613,0.11884386349224449,0.9669153871518342,37.90462467047703,0.11884386363967017,5e-06,2025-04-22 09:03:37
14,0.10910956423823573,0.11337619234307282,0.9672250659850016,38.31430269224095,0.11337619244530654,5e-06,2025-04-22 10:14:41
15,0.10790626287651138,0.11329906522236534,0.9673728688531994,38.341093985399574,0.11329906539703231,5e-06,2025-04-22 11:25:50
16,0.10695917630324416,0.11387767487023243,0.9675047084196249,38.27347355638943,0.11387767475273185,5e-06,2025-04-22 12:36:52
17,0.10594618481402399,0.1257328486952787,0.9669940398284926,37.39537715686971,0.12573284883881067,5e-06,2025-04-22 13:47:56
18,0.10511376506187955,0.11556466371496789,0.9675065723363226,38.10837346787787,0.11556466367691072,5e-06,2025-04-22 14:58:59
19,0.10434684376029217,0.12098302540685404,0.9673667578196602,37.69965182531403,0.1209830253143216,5e-06,2025-04-22 16:10:04
20,0.10146190695175412,0.11325228073474411,0.9677593229125911,38.322189781552844,0.11325228081591072,1.5e-06,2025-04-22 17:21:13
21,0.10097234146375092,0.11397421909376516,0.9677058167482375,38.25845681071071,0.11397421907876962,1.5e-06,2025-04-22 18:32:19
22,0.10063508226543295,0.1122936834035637,0.9677814952837277,38.40504064072963,0.11229368340632816,1.5e-06,2025-04-22 19:43:27
23,0.10031895837863954,0.11328806796266738,0.9677220973657069,38.31577834705817,0.11328806794495137,1.5e-06,2025-04-22 20:54:44
